tag,subtag,full_key,occurences,used_by_buildings
visible,,visible,5102,True
geometry,,geometry,5102,True
highway,,highway,1719,False
height,,height,65,True
operator,,operator,208,True
operator,wikidata,operator:wikidata,177,True
power,,power,206,True
ref,,ref,159,True
source,,source,955,True
ford,,ford,69,False
description,,description,72,False
ele,,ele,15,False
man_made,,man_made,53,True
note,,note,24,False
url,,url,13,False
line_attachment,,line_attachment,5,False
crossing,markings,crossing:markings,9,False
crossing,,crossing,18,False
access,,access,184,False
barrier,,barrier,278,False
addr,postcode,addr:postcode,17,True
city,,city,1,False
contact,email,contact:email,2,False
contact,phone,contact:phone,2,False
contact,website,contact:website,2,False
description,FR,description:FR,1,False
name,,name,563,True
opening_day,,opening_day,1,False
ref,INSEE:city,ref:INSEE:city,1,False
source,modif,source:modif,5,True
stars,,stars,2,False
tourism,,tourism,15,True
bus,,bus,22,False
public_transport,,public_transport,22,False
direction,,direction,51,False
colour,,colour,55,False
material,,material,14,True
structure,,structure,1,False
raceway,,raceway,1,False
locked,,locked,2,False
design,,design,1,False
aeroway,,aeroway,73,True
light_source,,light_source,2,False
lit,,lit,30,False
bench,,bench,1,False
passenger_information_display,,passenger_information_display,1,False
shelter,,shelter,1,False
wheelchair,,wheelchair,5,True
addr,city,addr:city,17,True
addr,street,addr:street,17,True
building,levels,building:levels,2,True
facebook,,facebook,1,False
opening_hours,,opening_hours,6,True
phone,,phone,7,True
website,,website,15,True
amenity,,amenity,93,True
changing_table,,changing_table,2,True
fee,,fee,18,True
natural,,natural,378,False
addr,housenumber,addr:housenumber,12,True
cuisine,,cuisine,3,False
content,,content,7,True
emergency,,emergency,5,True
traffic_calming,,traffic_calming,85,False
hazard,,hazard,2,False
traffic_sign,,traffic_sign,3,False
ref,highway,ref:highway,1,False
ref,FR:ANFR,ref:FR:ANFR,5,False
tower,type,tower:type,10,True
location,transition,location:transition,4,False
frequency,,frequency,3,False
location,,location,14,False
phases,,phases,1,False
start_date,,start_date,23,False
transformer,,transformer,1,False
voltage,primary,voltage:primary,1,False
voltage,secondary,voltage:secondary,1,False
ref,FR:SIRET,ref:FR:SIRET,2,False
shop,,shop,9,True
drive_through,,drive_through,1,False
brand,,brand,1,False
brand,wikidata,brand:wikidata,1,False
capacity,,capacity,4,False
not,brand:wikidata,not:brand:wikidata,1,False
short_name,,short_name,2,False
historic,,historic,3,False
place,,place,10,False
alt_name,,alt_name,3,False
leaf_type,,leaf_type,9,False
trees,,trees,8,False
holding_position,type,holding_position:type,4,False
crossing,island,crossing:island,1,False
communication,mobile_phone,communication:mobile_phone,2,False
attraction,,attraction,43,True
leisure,,leisure,163,True
entrance,,entrance,2,False
advertising,,advertising,1,False
tower,construction,tower:construction,3,True
covered,,covered,19,False
seats,,seats,6,False
check_date,,check_date,1,False
contact,city,contact:city,1,False
contact,housenumber,contact:housenumber,1,False
contact,postcode,contact:postcode,1,False
contact,street,contact:street,1,False
internet_access,,internet_access,1,False
internet_access,fee,internet_access:fee,1,False
official_name,,official_name,1,False
payment,american_express,payment:american_express,1,False
payment,debit_cards,payment:debit_cards,1,False
payment,mastercard,payment:mastercard,1,False
payment,visa,payment:visa,1,False
line_management,,line_management,4,False
source,ele,source:ele,1,False
luminous,,luminous,1,False
support,,support,1,False
noexit,,noexit,46,False
marker,,marker,1,False
